Week,Day,Exercise,Set,Rep,Load,Note,Rest,REPS LOG,RPE LOG
1,Session (Fri 24 Jul) - LIGHT,Weighted pull-ups,3,4,RPE6 (+8kg),JS-A - 3s eccentric - working load kept but volume cut hard - pull-chain touch only - fingers and skin must be fresh for Sat-Sun outdoor boulder - stop earlier if any heaviness,2min30s,,
1,Session (Fri 24 Jul) - LIGHT,Lock-off hold @ 90°,2,8s per arm,RPE6 (20kg loading pin),JS-A - below 26kg working load on purpose - pattern touch only two days before outdoor weekend,90s,,
1,Session (Fri 24 Jul) - LIGHT,Cossack squat (active),2,8 per side,RPE5 (BW),JS-A - MOBILITY INTEGRATED (Meso 3 lesson: bolt-on mini-blocks die) - filler during pull-up rests - preps hip turnout for weekend boulder,within JS-A rests,,
1,Session (Fri 24 Jul) - LIGHT,DB bench press,3,8,RPE6 (18kg per side),JS-B - tempo 3-0-1 - 2kg under working load - light by design this week,90s,,
1,Session (Fri 24 Jul) - LIGHT,Diamond push-ups,2,10,RPE6 (BW),JS-B - executable-subset touch - low volume,75s,,
1,Session (Fri 24 Jul) - LIGHT,Ankle dorsiflexion rockback,2,10 per side,RPE4 (BW),JS-B - MOBILITY INTEGRATED - filler during bench rests - ankle ROM for heel hooks and high steps on weekend boulder,within JS-B rests,,
1,Session (Fri 24 Jul) - LIGHT,Hollow body hold arms overhead,3,18s,RPE6 (BW),JS-C - no ankle weights this week - lower back flat to floor - arms locked overhead,60s,,
1,Session (Fri 24 Jul) - LIGHT,DB reverse wrist curl (wrist extension),2,15 per side,RPE5 (2-3kg),JS-C - ANTAGONIST INTEGRATED in main session - forearm extensor balance vs crimping load,60s,,
1,Session (Fri 24 Jul) - LIGHT,Wall slides + scapular CARs,2,10 slides + 8 CARs per shoulder,RPE5 (BW),JS-D - shoulder antagonist/mobility - inside the session so it actually happens,60s,,
1,Session (Fri 24 Jul) - LIGHT,90/90 Hip Internal Rotation (active),2,30s per side,RPE4 (BW),JS-D - active hip IR - correlates with drop-knee/hip-turn quality,45s,,
1,Session (Fri 24 Jul) - LIGHT,Seated Bear + Rockback (active),2,30s per side,RPE4 (BW),JS-D - hip ER + abduction active mobility - FRC-style - closes the session,45s,,
,,,,,,,,,
H1,OPTIONAL travel session (holiday 27 Jul - 2 Aug) - BW + pull-up bar only - 0-2x this week,Pull-ups (alternating grip: wide pronated / close supinated),3-4,6-8,RPE6-7 (BW),JS-A - OPTIONAL - nothing this week counts as missed - RPE cap 7-7.5 is a CEILING - 3s eccentric - intensity via tempo not load (vs +8kg at home),2min,,
