Week,Day,Exercise,Set,Rep,Load,Note,Rest,Numero Esecuzioni,Sforzo percepito
1,Session A,Weighted pull-ups,4,6,RPE7.5 (+6kg),JS-A - 3s eccentric - chin over bar - base load of cycle,2min30s,6;6;6;6,
1,Session A,Diamond push-ups,3,10,RPE7 (BW),JS-A - push antagonist between pull sets - body aligned - full ROM,90s,10;10;10,
1,Session A,Lock-off hold at 90°,3,10s per arm,RPE7 (25kg on loading pin),JS-B - depressed scapulae - no swinging - alternate arms,90s,"10"";10"";10""",
1,Session A,Hollow body hold arms overhead,3,18s,RPE7 (0.5kg ankle weights),JS-B - lower back flat to floor - arms locked overhead,90s,"18"";18"";18""",
1,Potenziamento 1,Frenchies,3,2 rep,RPE7.5: BW,Standalone - 1 rep = trazione + TOP 5'' + scendi a 90° + 5'' + scendi a 120° + 5'' + dead hang - re-introduzione pattern dopo singola esposizione in meso 1,3',"non fatti, causa cena lavoro",
1,Session A,TRX single-arm row,3,8 per side,RPE7,JS-C - 45 deg incline - full scapular squeeze - no momentum,90s,"non fatti, causa cena lavoro",
1,Session A,Dragon flag tuck,3,6,RPE7.5 (BW),JS-C - 3s eccentric - rigid body line from shoulders to knees,90s,"non fatti, causa cena lavoro",
,,,,,,,,,
1,Session B,Hollow body hold arms overhead,3,20s,RPE7 (0.5kg ankle weights),JS-A - max body tension - arms locked overhead,90s,20'';20'';20'',
1,Session B,DB bench press,3,10,RPE7 (18kg per side),JS-A - tempo 3-0-1 - hypertrophy emphasis - full ROM,90s,10;10;10,
1,Session B,Dragon flag tuck,3,6,RPE7 (BW),JS-B - 3s eccentric - controlled descent,90s,6;6;6,
1,Session B,TRX push-ups feet elevated,3,12,RPE6.5 (BW),JS-B - feet in TRX - body aligned - shoulder-friendly push,90s,12;12;12,
1,Session B,L-sit tuck,3,12s,RPE7 (BW),JS-C - hands on dumbbells - locked arms - depressed scapulae,60s,10;10;10,
1,Session B,DB overhead press seated,3,10,RPE7 (10kg per side),JS-C - controlled ROM - shoulder caution - hypertrophy stimulus,90s,9;9;10,
