Week,Day,Exercise,Set,Rep,Load,Note,Rest,REPS LOG,RPE LOG
1,Session B (Fri),Hollow body hold arms overhead,3,18s,RPE6 (BW),JS-A - reactivation - no ankle weights - lower back flat to floor - arms locked overhead,60s,18'';18'';18,8
1,Session B (Fri),TRX push-ups feet elevated,3,12,RPE6 (BW),JS-A - feet in TRX - body aligned - shoulder-friendly push - matches Meso 2 W4 deload shape,60s,12;12;12,8
1,Session B (Fri),L-sit tuck,3,12s,RPE6 (BW),JS-B - hands on dumbbells - locked arms - depressed scapulae,60s,"12'';12"";12""",8
1,Session B (Fri),DB bench press,3,8,RPE6 (16kg per side),JS-B - tempo 2-0-1 - maintenance load - below Meso 2 W4 (was 18kg) to stay strictly reactivation,75s,8;8;8,8
1,Session B (Fri),DB hammer curl alternating,2,10,RPE6 (6kg per side),JS-C - no swing - light arm work - pattern only,60s,10;10;10,8
1,Session B (Fri),Wall slides + scapular CARs,3,10 slides + 8 CARs per shoulder,RPE5 (BW),JS-C - active shoulder mobility - antagonist priority - prep pull-chain for W2 climbing load,60s,10+10;10+10;10+10,8
,,,,,,,,,
2,Session B (Fri),Hollow body hold arms overhead,3,20s,RPE7 (0.5kg ankle weights),JS-A - build - +2s and +ankle weights vs W1 - lower back flat - arms locked overhead,75s,20'';20'';20'',7
2,Session B (Fri),TRX push-ups feet elevated,3,14,RPE7 (BW),JS-A - feet in TRX - body aligned - +2 reps vs W1 - matches Meso 2 W1 Session B working volume,75s,14;14;14,7
2,Session B (Fri),L-sit tuck,3,12s,RPE7 (BW),JS-B - hands on dumbbells - locked arms - depressed scapulae - same vol as W1 but RPE up,75s,12'';12'';12'',7
2,Session B (Fri),DB bench press,3,8,RPE7 (18kg per side),JS-B - tempo 2-0-1 - +2kg vs W1 - working maintenance load,90s,8;8;8,7
2,Session B (Fri),Bent-over DB row,1,10,RPE6.5 (14kg per side),JS-C - pattern maintenance only - light load - skip if any pull-chain residue from previous weekend,75s,10,7
2,Session B (Fri),DB hammer curl alternating,2,10,RPE6.5 (8kg per side),JS-C - no swing - +2kg vs W1 - light arm work,60s,10;10;10,7
2,Session B (Fri),Wall slides + scapular CARs,3,10 slides + 8 CARs per shoulder,RPE5 (BW),Active shoulder mobility - antagonist priority - prep pull-chain for W3 climbing-loaded weekend,60s,,
,,,,,,,,,
2,Antagonist mini-block Mon (post-HB),DB seated shoulder press,2,20,RPE5 (5-7kg per side),JS-D - light push antagonist - max 40% BW per Hörst ch.6 - controlled ROM - 20 min total mini-block per Hörst antagonist guidance,90s,non fatto,
2,Antagonist mini-block Mon (post-HB),DB external rotation lying on side,2,15 per side,RPE5 (2-3kg),JS-D - rotator cuff - upper arm hinged at torso - per Hörst ch.11 shoulder rehab pattern,75s,non fatto,
2,Antagonist mini-block Mon (post-HB),Bent-over arm raise,2,12,RPE5 (3-5kg per side),JS-E - lift arms to side until parallel to floor - elbows straight - per Hörst ch.11,60s,non fatto,
