WEEK,DAY,EXERCISE,TIME,REPS,SETS,RPE,REST,NOTES
1,Mon 14 Sep (Primary — re-entry + strength/power rebuild; max-hang progresses toward Meso 2 refs 18.5/23.5 kg; first CF repeaters; RPE is a ceiling not a floor),Warm-up — prese grandi due mani + bordo 20 mm submax (progressive after the test week),8-10 s,1,2-3,4-5,60-90 s,20 mm half-crimp; ramp in; protect right wrist (flagged 24 Aug)
1,Mon 14 Sep (Primary — re-entry + strength/power rebuild; max-hang progresses toward Meso 2 refs 18.5/23.5 kg; first CF repeaters; RPE is a ceiling not a floor),Max hang — sospensioni due mani 20 mm semiarcuata @ +16 kg,7 s,1,4,7.5,2-3 min,20 mm half-crimp two-hand. Calibrated from W3 17 Aug +16 kg logged RPE 6 (easier than 7.5 target) and W4 24 Aug +17 kg @ RPE 8 clean. Re-entry-safe restart; progress W2->W3.
1,Mon 14 Sep (Primary — re-entry + strength/power rebuild; max-hang progresses toward Meso 2 refs 18.5/23.5 kg; first CF repeaters; RPE is a ceiling not a floor),Max hang — sospensioni svase (Moon) @ +18 kg,7 s,1,4,7.5,2-3 min,Moon svase two-hand. Calibrated from W3 17 Aug +17 kg @ logged RPE 6 and W4 24 Aug +20 kg @ RPE 8. Toward Meso 2 ref 23.5 kg; progress W3.
1,Mon 14 Sep (Primary — re-entry + strength/power rebuild; max-hang progresses toward Meso 2 refs 18.5/23.5 kg; first CF repeaters; RPE is a ceiling not a floor),Finger deadlift 20 mm — strict FILMED active semi-crimp @ 34 kg,3-5 s hold,2,2,6,90 s,"Maintenance touch only (~70% of 48 kg 1RM ref, test 2026-09-11). NEVER fatiguing; film the semi-crimp; ramp for right wrist. Doubles."
1,Mon 14 Sep (Primary — re-entry + strength/power rebuild; max-hang progresses toward Meso 2 refs 18.5/23.5 kg; first CF repeaters; RPE is a ceiling not a floor),CF repeaters 7:3 — two-hand 20 mm half-crimp pulley-ASSISTED @ ~27 kg ASSIST (DELOAD),7 s on / 3 s off,6 per round,3 rounds,6-7,2.5 min between rounds,"THE SPINE — CF-ZONE aerobic work, NOT max. ~27 kg pulley ASSIST (DELOAD) off BW ~63-65 kg → per-hand ~18-19 kg = CF (L18.67/R15.85, ref 2026-09-11) + small reserve. A plain two-hand BW hang = ~32 kg/hand ≈ 2x CF — too heavy, would fail the protocol. RPE GOVERNS: set assist so all 3 rounds complete at RPE 6-7 with ~1-2 s in reserve each rep; add assist if you can't finish. Assist is DELOAD, never added load."
1,Mon 14 Sep (Primary — re-entry + strength/power rebuild; max-hang progresses toward Meso 2 refs 18.5/23.5 kg; first CF repeaters; RPE is a ceiling not a floor),Cool-down — easy shake-out + forearm + wrist-extensor stretch,3-5 min,—,1,—,—,—

1,Fri 18 Sep (Lighter 2nd session — must not compromise the weekend; pinch + CF; no max-hang PRs; skin-friendly),Warm-up — prese grandi due mani + bordo 20 mm submax,8-10 s,1,2,4-5,60-90 s,20 mm half-crimp
1,Fri 18 Sep (Lighter 2nd session — must not compromise the weekend; pinch + CF; no max-hang PRs; skin-friendly),Max hang — sospensioni due mani 20 mm semiarcuata @ +15 kg,7 s,1,3,7,2-3 min,"Lighter than Mon (Fri historically fatigued: 21 Aug dropped to 12 kg, 28 Aug to 11 kg). Keep conservative; RPE leads."
1,Fri 18 Sep (Lighter 2nd session — must not compromise the weekend; pinch + CF; no max-hang PRs; skin-friendly),Stacco pinza mono dx @ 18.5 kg,5-6 s,1,3,7,90 s,Right-side pinch. Calibrated from 28 Aug dx 18.5 kg @ RPE 7.5. Right-hand emphasis thread.
1,Fri 18 Sep (Lighter 2nd session — must not compromise the weekend; pinch + CF; no max-hang PRs; skin-friendly),Stacco pinza mono sx @ 17.5 kg,5-6 s,1,3,7,90 s,Left-side pinch. Calibrated from 28 Aug sx 17.5 kg @ RPE 7.5.
1,Fri 18 Sep (Lighter 2nd session — must not compromise the weekend; pinch + CF; no max-hang PRs; skin-friendly),CF repeaters 7:3 — RIGHT-hand pulley-ASSISTED one-hand 20 mm @ 47 kg ASSIST (DELOAD),7 s on / 3 s off,6 per round,2 rounds,6-7,2.5 min between rounds,Right-hand CF deficit closer (R 15.85 vs L 18.67 kg). 47 kg pulley ASSIST = per-hand ~18 kg (CF+small reserve). Assist is DELOAD not added load. Left = 1 round same assist for balance.
1,Fri 18 Sep (Lighter 2nd session — must not compromise the weekend; pinch + CF; no max-hang PRs; skin-friendly),Cool-down — easy shake-out + forearm + wrist-extensor stretch,3-5 min,—,1,—,—,—

2,Mon 21 Sep (LIGHT maintenance — single session; fresh fingers + skin for the 25-27 Sep outdoor trip; RPE hard ceiling 7),Warm-up — prese grandi due mani + bordo 20 mm submax,8-10 s,1,2,4-5,60-90 s,20 mm half-crimp
2,Mon 21 Sep (LIGHT maintenance — single session; fresh fingers + skin for the 25-27 Sep outdoor trip; RPE hard ceiling 7),Max hang — sospensioni due mani 20 mm semiarcuata @ +15 kg,6-7 s,1,3,6-7,2-3 min,Light maintenance only; do NOT push. Matches Meso 3 maintenance style (+15 kg @ RPE 7). No progression this week.
2,Mon 21 Sep (LIGHT maintenance — single session; fresh fingers + skin for the 25-27 Sep outdoor trip; RPE hard ceiling 7),Max hang — sospensioni svase (Moon) @ +16 kg,6-7 s,1,3,6-7,2-3 min,Light maintenance; fingers fresh for rock.
