Week,Day,Short description,Duration/Sets,Movements,Reps,Rest,
,,,,,,,
1,Mer,"Aufbau Moonboard (MB 6a/6a+ - RPE 7 - PE base accumulo) : 

SCHEMA MOSSE PER RIPETIZIONE
Ripetizione 1: 13 mosse
Ripetizione 2: 12-13 mosse
Ripetizione 3: 11-12 mosse
Ripetizione 4: 10-11 mosse
Ripetizione 5: 8-10 mosse
Regola importante: è meglio completare la ripetizione riducendo il numero di mosse piuttosto che cadere a metà della scalata.
RECUPERI
Tra le ripetizioni (2 minuti):

Rimanere in piedi
Shake out per sciogliere i muscoli
Applicare magnesia a 1'45"" di ripresa
Riprendere a scalare a 2'00"" preciso

Tra i set (10 minuti):

Recupero passivo, seduti
Non scalare durante questo periodo
Applicare magnesia a -2' dalla ripresa
Riprendere a scalare a 10'00"" preciso",3 sets,10-13 decrescenti a 8,5,2' / 10',fatto
,,,,,,,
1,Sab,Vie flash outdoor 6a-6b (volume RPE 5-6 - motivazione + fluidità),Fino a 90',20-30 per via,8-12 vie totali,5-10' tra vie,fatto
,,,,,,,
2,Mer,Aufbau Moonboard (MB 6a+/6b - RPE 8 - intensità più alta),3 sets,12-15 decrescenti a 10,5-6,2' / 10',fatto
2,Mer,Blocchi ripetuti Moonboard (MB 6b - grado flash - finale RPE 8),1 set,6-8 mov,3,1' / 8',fatto
,,,,,,,
2,Sab,Vie sostenute outdoor 6b/6c lead (PE strutturata RPE 8 - sustained climbing TUT 90-120s),3-4 vie,libero - TUT 90-120s,1 tentativo per via,8-10' tra vie,fatto
2,Sab,Vie flash outdoor 6a/6b (defaticante RPE 5 - fine sessione),20-30',20-30 per via,3-5 vie facili,A piacere,fatto
,,,,,,,
2,Dom,Vie flash outdoor 6a-6b (volume bassa intensità RPE 5 - active recovery),Max 75',20-30 per via,6-8 vie totali,5-8' tra vie,fatto
,,,,,,,
3,Lun (Crag — NEW),Vie lavorate outdoor 7a+ progetto (red-point mapping - fresh fingers),Fino a 90',25-35,4-6 tentativi seri,20-30' tra tentativi seri,fatto
3,Mar (Crag — NEW),Vie flash/onsight outdoor 6a-6b+ (general volume - active building),No time cap,20-30 per via,8-12 vie totali,5-10' tra vie,fatto
,,,,,,,
3,Mer (REST — RESTRUCTURED),Riposo completo,—,—,—,—,fatto
,,,,,,,
3,Sab,Vie lavorate outdoor 7a-7a+ (processo - mappare sezioni),Fino a 90',25-35,3-5 tentativi su sezioni,20-30' tra tentativi seri,fatto
,,,,,,,
4,Mer,Blocchi tecnici boulder gym (RPE 5-6 - placche/coordinativi - zero pump),Fino a 45',4-8 mov,8-12 boulder totali,A piacere,fatto
,,,,,,,
4,Sab,Vie flash outdoor warm-up progressivo 6a/6b,20-30',15-25,2-3 vie,8-10' tra vie - poi pausa 20-30' prima del primo tentativo serio,non fatto
4,Sab,PERFORMANCE — Vie 7a+ progetto (HONEST FIRST SERIOUS ATTEMPT - non send week),3-4 tentativi MAX,25-35,Cap 4 - STOP se 2 cadute consecutive sotto il crux + 1 mossa o crollo qualità tecnica,30-45' tra tentativi seri (recupero completo - no pump residuo),non fatto
,,,,,,,
4,Dom,CONDIZIONALE A — Vie flash celebrative (se sabato chiusura OK - RPE 4-5),30-45',15-25,4-6 vie facili 6a-6b,A piacere,fatto
4,Dom,CONDIZIONALE B — Vie 7a+ secondo tentativo (scenario MOST LIKELY sotto Path A),Max 60',25-35,2-3 tentativi MAX - mai più di 3,30-40' tra tentativi,fatto
