Week,Day,Short description,Duration/Sets,Movements,Reps,Rest,REPS LOG,RPE LOG
1,Gio,Blocchi tecnici boulder gym (RPE 5-6 - placche/coordinativi - zero pump),Fino a 45',4-8 mov,8-12 boulder totali,A piacere,fatto,7.5
,,,,,,,,
2,Mer,Aufbau Moonboard (MB 6a+/6b - RPE 7 - mileage al grado / vie volume indoor),3 sets,12-14 decrescenti a 9,5,2' / 10',,
2,Mer,Blocchi ripetuti Moonboard (MB 6a+ - sezioni groovate - zero crux RPE 6-7 - downclimbing per footwork),1 set,6-8 mov,3,1' / 8',,
,,,,,,,,
2,Sab,Vie flash/onsight outdoor 6c+/7a (mileage al grado - fluidità RPE 6-7 - grip minimo intenzionale: stai stringendo troppo?),Fino a 90',20-30 per via,6-10 vie totali,5-10' tra vie,,
2,Sab,Sezioni ripetute outdoor 7a (pattern motori al grado - ripetere crux),20-30',8-12 mov per sezione,2-3 sezioni x 2-3 rip,3-5' tra rip,,
,,,,,,,,
2,Dom,Fondo aerobico outdoor 6a/6b (TUT 150-180s RPE 5-6 - no pump - zona aerobica vera),3-5 ripetizioni,15-25 mov per rip,2-5 rip per serie - 1-2 serie totali,Rec attivo 15-45s tra rip / 10-15' tra serie,,
2,Dom,Aero passivo outdoor 6a/6b (mega-serie unica - vie 6a/6b sostenute - TUT 1-4 min in parete),1 mega-serie,20-30 per via,4-6 vie consecutive,30s-2' rec a terra tra vie,,
2,Dom,Vie flash outdoor 6a defaticante (RPE 4-5 - fine sessione opzionale),15-20',15-25,2-3 vie facili,A piacere,,
,,,,,,,,
3,Mer,Aufbau Moonboard (MB 6b - RPE 8 - intensità più alta peak indoor),3 sets,12-15 decrescenti a 10,5-6,2' / 10',,
3,Mer,Blocchi ripetuti Moonboard (MB 6b - grado flash - finale RPE 8 - downclimbing tra blocchi),1 set,6-8 mov,3,1' / 8',,
,,,,,,,,
3,Sab,Aufbau PE breve durata outdoor 6c/7a (peak PE - RPE 8 - specifico crux finale 7a+ end-of-route anaerobico),4-6 ripetizioni,8-18 mov per rip,2-3 serie da 2 rip,1'30''-3' tra rip / 8-15' tra serie,,
3,Sab,Vie flash/onsight outdoor 6c+/7a (mileage al grado in chiusura sessione - tecnica fresca RPE 6-7),30-45',20-30 per via,3-5 vie totali,5-10' tra vie,,
,,,,,,,,
3,Dom,Vie lavorate outdoor 7a+ progetto (PRIMO TENTATIVO SERIO - chunking 3-4 sezioni - linkare top-2/top-3/completa),Fino a 90',25-35,3-4 tentativi seri,20-30' tra tentativi seri,,
3,Dom,NOTES tattiche progetto (Pre-climb ritual: scope → vis. 1a persona → 3 respiri 5in/10out → focus dita-roccia - G-Tox 10-20s ai rest stance - grip check sezioni basse: no overgrip - Mental laps se pump: fermati e visualizza),—,—,—,—,,
3,Dom,Vie flash outdoor 6a/6b defaticante (RPE 4-5 - fine sessione),20-30',20-30 per via,2-3 vie facili,A piacere,,
,,,,,,,,
4,Mer,Blocchi tecnici boulder gym (RPE 5-6 - placche/coordinativi - zero pump - tecnica fresca a inizio sessione),Fino a 45',4-8 mov,8-12 boulder totali,A piacere,,
,,,,,,,,
4,Sab,Vie flash outdoor warm-up progressivo 6a/6b,20-30',15-25,2-3 vie,8-10' tra vie - poi pausa 20-30' prima del primo tentativo serio,,
4,Sab,PERFORMANCE — Vie 7a+ progetto SEND ATTEMPT principale (8-9h sonno - fresh),3-4 tentativi MAX,25-35,Cap 4 - STOP se 2 cadute consecutive sotto il crux + 1 mossa o crollo qualità tecnica,30-45' tra tentativi seri (recupero completo - no pump residuo),,
4,Sab,NOTES tattiche send (Pre-climb ritual: scope → vis. 1a persona → 3 respiri 5in/10out → focus dita-roccia - G-Tox 10-20s ai rest stance - speed sezioni note - grip check sezioni basse: no overgrip),—,—,—,—,,
,,,,,,,,
4,Dom,CONDIZIONALE A — Vie flash celebrative (se sabato OK - RPE 4-5 - Reminiscence Effect: tecnica al picco),30-45',15-25,4-6 vie facili 6a-6b,A piacere,,
4,Dom,CONDIZIONALE B — Vie 7a+ secondo tentativo (se sabato NON chiuso - no scavare - max 2-3 try),Max 60',25-35,2-3 tentativi MAX - mai più di 3,30-40' tra tentativi,,
