Week,Day,Exercise,Set,Rep,Load,Note,Rest,REPS LOG,RPE LOG
1,Session (Mon 14 Sep - after hangboard) - PULL REBUILD,Weighted pull-ups,4,5,RPE7.5 (+8kg),JS-A - 3s eccentric - PULL-REBUILD SPINE - resume working load at reduced reps (4x5) to re-establish +8kg at RPE7.5 after Finale logged +8kg 4x6 at RPE8 - clean base before the +9kg attempt in W3 - stop set early if RPE passes 8,2min30s,5;5;5;5,7.5
1,Session (Mon 14 Sep - after hangboard) - PULL REBUILD,Lock-off hold @ 90° (single-arm - pulley ASSISTED),3,12s per arm,RPE7.5 (25kg pulley assist / DELOAD),JS-A - assisted single-arm (cannot be done at BW) - PROGRESS BY REDUCING ASSIST: 25kg = slightly less assist than the 26kg working level (Finale W3 done at 23kg) - full volume 3x12s - never add kg,90s,1x2;1x2;1x2,7
1,Session (Mon 14 Sep - after hangboard) - PULL REBUILD,Cossack squat (active),2,8 per side,RPE5 (BW),JS-A - MOBILITY INTEGRATED (recurring lesson: bolt-on mini-blocks die) - filler during pull-up rests - hip turnout for drop-knees,within JS-A rests,8x2;8x2,
1,Session (Mon 14 Sep - after hangboard) - PULL REBUILD,DB bench press,3,10,RPE7.5 (20kg per side),JS-B - tempo 3-0-1 - working load (Finale W4 logged 10;10;10 on target at 20kg),90s,10;10;10,
1,Session (Mon 14 Sep - after hangboard) - PULL REBUILD,Diamond push-ups,3,10,RPE7 (BW),JS-B - EXECUTABLE SUBSET - held at 3x10 (Finale W4: 12 felt heavy),75s,10;10;10,
1,Session (Mon 14 Sep - after hangboard) - PULL REBUILD,Ankle dorsiflexion rockback,2,10 per side,RPE4 (BW),JS-B - MOBILITY INTEGRATED - filler during bench rests - ankle ROM for high steps/heel hooks,within JS-B rests,,
1,Session (Mon 14 Sep - after hangboard) - PULL REBUILD,Hollow body hold arms overhead,3,22s,RPE7-7.5 (0.5kg ankle weights),JS-C - EXECUTABLE SUBSET - working prescription - lower back flat - arms locked overhead,75s,22'';22'';,
1,Session (Mon 14 Sep - after hangboard) - PULL REBUILD,DB reverse wrist curl (wrist extension),3,15 per side,RPE5 (2-3kg),JS-C - ANTAGONIST INTEGRATED - 3 sets (chronically skipped as bolt-on; now inside JS-C) - protect right wrist flagged 24 Aug - stop at any pain,60s,,
1,Session (Mon 14 Sep - after hangboard) - PULL REBUILD,Wall slides + scapular CARs,2,10 slides + 8 CARs per shoulder,RPE5 (BW),JS-D - shoulder antagonist/mobility,60s,,
1,Session (Mon 14 Sep - after hangboard) - PULL REBUILD,90/90 Hip Internal Rotation (active),2,30s per side,RPE4 (BW),JS-D - active hip IR - correlates with drop-knee/hip-turn quality,45s,,
1,Session (Mon 14 Sep - after hangboard) - PULL REBUILD,Seated Bear + Rockback (active),2,30s per side,RPE4 (BW),JS-D - hip ER + abduction - closes the session,45s,,

2,Session (Mon 22 Sep) - LIGHT - PRE-TRIP MOBILITY/ANTAGONIST,Cossack squat (active),2,8 per side,RPE5 (BW),JS-A - MOBILITY - early-week light session - ZERO pre-trip fatigue on fingers/pull chain - fresh for 3 outdoor days Fri-Sun 25-27 Sep - hip turnout prep for rock,45s,,
2,Session (Mon 22 Sep) - LIGHT - PRE-TRIP MOBILITY/ANTAGONIST,Ankle dorsiflexion rockback,2,10 per side,RPE4 (BW),JS-A - MOBILITY - ankle ROM for outdoor footwork/high steps,45s,,
2,Session (Mon 22 Sep) - LIGHT - PRE-TRIP MOBILITY/ANTAGONIST,90/90 Hip Internal Rotation (active),2,30s per side,RPE4 (BW),JS-A - active hip IR - keeps ROM ticking for the trip,45s,,
2,Session (Mon 22 Sep) - LIGHT - PRE-TRIP MOBILITY/ANTAGONIST,Seated Bear + Rockback (active),2,30s per side,RPE4 (BW),JS-A - hip ER + abduction,45s,,
