WEEK,DAY,EXERCISE,TIME,REPS,SETS,RPE,REPS LOG,RPE LOG
1,Mon 20 Jul (Maintenance — single session — fingers + skin fresh for 25-26 Jul outdoor boulder weekend; RPE is a target not a floor),Warm-up — prese grandi due mani + bordo 20 mm submax,8-10 s,1,2,4-5,,
1,Mon 20 Jul (Maintenance — single session — fingers + skin fresh for 25-26 Jul outdoor boulder weekend; RPE is a target not a floor),Sospensioni due mani 20 mm — semiarcuata @ +15 kg,6-7 s,1,3,6-7,,
1,Mon 20 Jul (Maintenance — single session — fingers + skin fresh for 25-26 Jul outdoor boulder weekend; RPE is a target not a floor),Sospensioni svase (Moon hangboard) @ +15 kg,6-7 s,1,3,6-7,,
1,Mon 20 Jul (Maintenance — single session — fingers + skin fresh for 25-26 Jul outdoor boulder weekend; RPE is a target not a floor),Cool-down — easy shake-out + forearm stretch,3-5 min,—,1,—,,
,,,,,,,,
H1,Any day (OPTIONAL holiday travel session — 0-2/week; skipping is fine and counts as done; BW only; travel edge 2 cm ≈ home 20 mm; RPE cap 7-7.5),Warm-up — prese grandi due mani,10 s,1,2,3,,
H1,Any day (OPTIONAL holiday travel session — 0-2/week; skipping is fine and counts as done; BW only; travel edge 2 cm ≈ home 20 mm; RPE cap 7-7.5),Warm-up — bordo 2 cm due mani (grip aperto),8 s,1,2,4-5,,
H1,Any day (OPTIONAL holiday travel session — 0-2/week; skipping is fine and counts as done; BW only; travel edge 2 cm ≈ home 20 mm; RPE cap 7-7.5),Bordo 2 cm due mani — CALIBRAZIONE (log RPE per tarare il blocco principale),10 s,1,1,log,,
H1,Any day (OPTIONAL holiday travel session — 0-2/week; skipping is fine and counts as done; BW only; travel edge 2 cm ≈ home 20 mm; RPE cap 7-7.5),Bordo 2 cm due mani — principale (10-12s dritti se calib RPE>=6 altrimenti repeaters 7:3x5),10-12 s o repeaters 7:3,1 o 5,3,6-7,,
H1,Any day (OPTIONAL holiday travel session — 0-2/week; skipping is fine and counts as done; BW only; travel edge 2 cm ≈ home 20 mm; RPE cap 7-7.5),Svasa (più aperta del Moon) due mani,10-12 s,1,2,5-6,,
H1,Any day (OPTIONAL holiday travel session — 0-2/week; skipping is fine and counts as done; BW only; travel edge 2 cm ≈ home 20 mm; RPE cap 7-7.5),(Opzionale) prese grandi repeaters 7:3,7 s on / 3 s off,6,1,4-5,,
H1,Any day (OPTIONAL holiday travel session — 0-2/week; skipping is fine and counts as done; BW only; travel edge 2 cm ≈ home 20 mm; RPE cap 7-7.5),Cool-down — shake-out mani,3-5 min,—,1,—,,
,,,,,,,,
H2,Any day (OPTIONAL holiday travel session — same template as H1; max 2/week and only if fully recovered; it is a holiday — RPE cap 7-7.5),Warm-up — prese grandi due mani,10 s,1,2,3,,
