Week,Day,Short description,Duration/Sets,Movements,Reps,Rest,REPS LOG,RPE LOG
1,Gio,Blocchi tecnici boulder gym (RPE 5-6 - placche/coordinativi - zero pump),Fino a 45',4-8 mov,8-12 boulder totali,A piacere,fatto,7.5
,,,,,,,,
2,Mer,Aufbau Moonboard (MB 6a+/6b - RPE 7 - mileage al grado / vie volume indoor),3 sets,12-14 decrescenti a 9,5,2' / 10',fatto ,8.5
2,Mer,Blocchi ripetuti Moonboard (MB 6a+ - sezioni groovate - zero crux RPE 6-7 - downclimbing per footwork),1 set,6-8 mov,3,1' / 8',non fatto,
,,,,,,,,
2,Sab,Vie flash/onsight outdoor 6c+/7a (mileage al grado - fluidità RPE 6-7 - grip minimo intenzionale: stai stringendo troppo?),Fino a 90',20-30 per via,minimo 6 massimo 10,5-10' tra vie,non fatto ; fatto boulder facili ma finito presto causa pioggia,
2,Sab,Sezioni ripetute outdoor 7a (pattern motori al grado - ripetere crux),20-30',8-12 mov per sezione,2-3 sezioni x 2-3 rip,3-5' tra rip,non fatto ; fatto boulder facili ma finito presto causa pioggia,
,,,,,,,,
2,Dom,Fondo aerobico outdoor 6a/6b (TUT 150-180s RPE 5-6 - no pump - zona aerobica vera),3-5 ripetizioni,15-25 mov per rip,2-5 rip per serie - 1-2 serie totali,Rec attivo 15-45s tra rip / 10-15' tra serie,non fatto ; fatto boulder outdoor facili e 45 min di tentativi su vecchio proj 7a+,
2,Dom,Aero passivo outdoor 6a/6b (mega-serie unica - vie 6a/6b sostenute - TUT 1-4 min in parete),1 mega-serie,20-30 per via,4-6 vie consecutive,30s-2' rec a terra tra vie,non fatto ; fatto boulder outdoor facili e 45 min di tentativi su vecchio proj 7a+,
2,Dom,Vie flash outdoor 6a defaticante (RPE 4-5 - fine sessione opzionale),15-20',15-25,2-3 vie facili,A piacere,non fatto ; fatto boulder outdoor facili e 45 min di tentativi su vecchio proj 7a+,
,,,,,,,,
3,Mer,Blocchi tecnici boulder/Moonboard — skill fresco (RPE 5-6 - elimination drills + random practice: linka 4-6 problemi diversi back-to-back - tecnica a inizio sessione),Fino a 40',4-8 mov,8-12 boulder totali,2-3' tra link,fatto,7
3,Mer,Downclimbing per footwork (RPE 4-5 - scendi i problemi facili - piedi silenziosi - hold recognition),15-20',6-10 mov,3-4 problemi,1-2' tra problemi,fatto,5
3,Mer,Mileage economia sotto fatica — lead indoor moderato OPPURE circuito boulder lungo-facile 4x4 (RPE 6 - economia di movimento - grip minimo intenzionale),20-30',20-30 (via) / 4x4 (boulder),3-4 vie o 4 giri,5' tra vie / 2-3' tra giri,fatto,6
,,,,,,,,
3,Gio,Volume di movimento / fatigued-skill su problemi padroneggiati (RPE 5-6 - submax - ripeti sequenze già groovate in leggera fatica - qualità > difficoltà),Fino a 40',4-8 mov,10-15 boulder facili-medi,1-2' tra problemi,fatto,7.5
3,Gio,Downclimbing + mobilità in parete (RPE 4 - drop-knee/heel hook/hip turn lenti e controllati),15',6-10 mov,3-4 problemi,A piacere,fatto,7
,,,,,,,,
3,Dom,Warm-up movimento outdoor (RPE 3-4 - boulder facili - attiva pattern e mobilità anca/caviglia),20-30',4-8 mov,4-6 boulder facili,A piacere,fatto,7
3,Dom,Blocchi ripetuti outdoor — blocked practice (RPE 6-7 - problemi su debolezza tecnica + vecchio blocco 7a+ COME MOVEMENT PRACTICE non performance: 2-3 rip per groovare il feel poi cambia),30-45',4-10 mov,3-4 problemi x 2-3 rip,2-3' tra rip / 5-8' tra problemi,non fatto : per limiti logistici provato un 6c+ placcoso e verticale e un 7c che ho sentito meglio del previsto,7.5
3,Dom,Variable practice outdoor (RPE 5-6 - stessi pattern su angoli/prese/spaziature diverse - espandi lo schema motorio),20-30',4-8 mov,6-8 boulder vari,3-5' tra boulder,non fatto : per limiti logistici provato un 6c+ placcoso e verticale e un 7c che ho sentito meglio del previsto,-
3,Dom,NOTES tattiche fluidità (grip leggero: stai stringendo troppo? - piedi silenziosi/precisi - pace: muoviti brisk senza perdere tecnica - scan tensione antagonisti - respiro ventrale),—,—,—,—,non fatto : per limiti logistici provato un 6c+ placcoso e verticale e un 7c che ho sentito meglio del previsto,-
3,Dom,Chiusura su problemi facili padroneggiati (RPE 4 - movimento pulito defaticante),15',4-8 mov,3-4 boulder facili,A piacere,non fatto : per limiti logistici provato un 6c+ placcoso e verticale e un 7c che ho sentito meglio del previsto,-
,,,,,,,,
4,Mer,Blocchi tecnici boulder/Moonboard — random practice + speed (RPE 5-6 - linka problemi dissimili poi aumenta velocità su sequenze consolidate mantenendo tecnica),Fino a 40',4-8 mov,8-12 boulder totali,2-3' tra link,fatto,7.5
4,Mer,Downclimbing per footwork (RPE 4 - piedi silenziosi),15',6-10 mov,3-4 problemi,1-2' tra problemi,fatto,6
4,Mer,Mileage economia — lead indoor moderato OPPURE circuito boulder lungo-facile 4x4 (RPE 6 - economia sotto fatica),20-30',20-30 (via) / 4x4 (boulder),3-4 vie o 4 giri,5' tra vie / 2-3' tra giri,fatto,6
,,,,,,,,
4,Sab,Warm-up movimento outdoor (RPE 3-4 - boulder facili - mobilità anca/caviglia),20-30',4-8 mov,4-6 boulder facili,A piacere,"non fatti : fatto invece seduta in falesia con molto caldo ma su gadi facili, 6 tiri",7.5
4,Sab,SESSIONE PRINCIPALE — variable + random practice outdoor (RPE 6-7 - movimenti consolidati su angoli vari + link dissimili - la QUALITÀ del movimento è l'obiettivo non il grado),45-60',4-10 mov,8-12 boulder vari,3-5' tra boulder,"non fatti : fatto invece seduta in falesia con molto caldo ma su gadi facili, 6 tiri",7.5
4,Sab,Speed su pattern consolidati (RPE 5-6 - ripeti veloce i boulder già padroneggiati - efficienza neurale - tecnica intatta),15-20',4-8 mov,4-6 problemi noti,2-3' tra problemi,"non fatti : fatto invece seduta in falesia con molto caldo ma su gadi facili, 6 tiri",7.5
4,Sab,NOTES tattiche fluidità (grip leggero - piedi silenziosi - pace brisk - scan tensione antagonisti - respiro ventrale - modella movimento catlike: smooth/quiet/leg-driven),—,—,—,—,"non fatti : fatto invece seduta in falesia con molto caldo ma su gadi facili, 6 tiri",7.5
,,,,,,,,
